genre,title,edition,description,date,price,rating
Strategy,Game 24,alpha,A Action game where strategic thinking meets realistic physics for an unforgettable experience. Age Restriction: 14.,2013-08-10,27.1,0.3
Action,Game 25,alpha,"Unleash your potential in this JRPG game, featuring intense battles and dynamic environments. Age Restriction: 4.",2022-01-23,64.37,2.6
Strategy,Game 26,current,Immerse yourself in a Strategy game that offers intense battles and endless fun. Age Restriction: 17.,2012-12-01,29.93,1.5
Simulation,Game 27,current,ONLY THIS GAME IS FULL OF unicorns. The final boss is a unicorn Queen. A unique Simulation game that offers strategic thinking alongside unmatched gameplay. Age Restriction: 3.,2011-04-02,53.45,0.3
MMORPG,Game 28,beta,A thrilling Action game featuring intense battles and endless fun. Age Restriction: 16.,2005-09-16,85.66,6.0
MMORPG,Game 29,original,"Immerse yourself in this Simulation game, where city-building meets challenging levels. Age Restriction: 3.",2008-02-14,46.33,5.5
Adventure,Game 30,beta,Immerse yourself in a Adventure game that offers intense battles and breathtaking visuals. Age Restriction: 16.,2011-12-25,62.75,4.9
Fighting,Game 31,alpha,"Unleash your potential in this Strategy game, featuring intense battles and realistic physics. Age Restriction: 12.",2007-12-06,67.11,6.8
Action,Game 32,beta,"This Simulation game provides puzzle-solving, perfect for those who realistic physics. Age Restriction: 4.",2021-03-08,99.15,8.9
MMORPG,Game 33,alpha,An engaging Puzzle game that brings character customization and multiplayer options to life. Age Restriction: 8.,2002-04-24,61.77,6.8
Strategy,Game 34,current,Embark on an epic Strategy journey where high-speed racing and breathtaking visuals come together. Age Restriction: 17.,2004-09-10,96.31,3.1
Puzzle,Game 35,classic,A dynamic Fighting game that integrates city-building and dynamic environments seamlessly. Age Restriction: 11.,2006-05-16,81.07,3.7
Simulation,Game 36,original,"Unleash your potential in this Survival game, featuring intense battles and challenging levels. Age Restriction: 10.",2012-08-03,88.49,7.2
Strategy,Game 37,current,"Immerse yourself in this Action game, where complex narratives meets unmatched gameplay. Age Restriction: 14.",2016-04-26,96.18,9.3
Puzzle,Game 38,alpha,"Join the adventure in this Simulation game, where city-building is paired with multiplayer options. Age Restriction: 15.",2010-07-20,13.44,1.9
Horror,Game 39,alpha,Immerse yourself in a Puzzle game that offers strategic thinking and immersive soundtracks. Age Restriction: 9.,2021-07-12,51.16,1.5
Puzzle,Game 40,original,Step into the world of Adventure with puzzle-solving and breathtaking visuals at your fingertips. Age Restriction: 13.,2007-11-19,88.98,3.7
Simulation,Game 41,current,Discover the thrill of Horror through sports management and endless fun. Age Restriction: 7.,2017-03-27,40.27,8.3
Puzzle,Game 42,classic,A Simulation game where high-speed racing meets multiplayer options for an unforgettable experience. Age Restriction: 8.,2014-01-16,72.02,4.9
Sports,Game 43,beta,An innovative Survival game that complex narratives and breathtaking visuals. Age Restriction: 14.,2010-07-16,62.21,9.2
RPG,Game 44,alpha,"Unleash your potential in this Sports game, featuring city-building and multiplayer options. Age Restriction: 8.",2004-06-11,90.01,9.6
Survival,Game 45,beta,A Strategy game where character customization meets endless fun for an unforgettable experience. Age Restriction: 7.,2016-12-15,70.32,6.2
Fighting,Game 46,original,"Experience the excitement in this Action game, where puzzle-solving and unmatched gameplay. Age Restriction: 11.",2021-02-25,59.32,5.4
Puzzle,Game 47,beta,This RPG game captivates with intense battles and realistic physics at its core. Age Restriction: 7.,2001-04-17,87.36,5.1
Puzzle,Game 48,original,"Unleash your potential in this JRPG game, featuring complex narratives and endless fun. Age Restriction: 10.",2019-07-07,29.83,6.0
Puzzle,Game 49,current,"This Action game offers city-building, combined with endless fun for endless excitement. Age Restriction: 12.",2011-08-21,39.12,0.3
Simulation,Game 50,classic,"Explore the Horror genre with sports management, making it breathtaking visuals. Age Restriction: 12.",2010-10-02,97.55,0.2
Action,Game 51,beta,Dive into Puzzle\ with intense battles and breathtaking visuals for a complete experience. Age Restriction: 13.,2015-07-21,92.63,1.5
Strategy,Game 52,beta,A thrilling Strategy game featuring strategic thinking and dynamic environments. Age Restriction: 10.,2020-06-17,64.12,6.0
MMORPG,Game 53,classic,"Explore the RPG genre with high-speed racing, making it realistic physics. Age Restriction: 15.",2004-11-26,53.83,0.9
Action,Game 54,beta,A captivating Horror experience that blends complex narratives with challenging levels. Age Restriction: 3.,2017-10-11,15.73,4.4
Action,Game 55,current,A captivating JRPG experience that blends city-building with endless fun. Age Restriction: 3.,2012-12-20,96.71,0.2
Fighting,Game 56,beta,A thrilling RPG game featuring sports management and multiplayer options. Age Restriction: 3.,2011-11-04,74.07,8.9
Survival,Game 57,beta,Step into the world of RPG with intense battles and unmatched gameplay at your fingertips. Age Restriction: 14.,2023-02-03,43.29,4.5
Adventure,Game 58,classic,Embark on an epic Sports journey where sports management and immersive soundtracks come together. Age Restriction: 10.,2009-08-29,53.64,1.1
RPG,Game 59,original,"This Adventure game provides puzzle-solving, perfect for those who multiplayer options. Age Restriction: 17.",2001-04-12,99.76,4.1
Sports,Game 60,original,"Immerse yourself in this Survival game, where sports management meets immersive soundtracks. Age Restriction: 16.",2021-09-22,96.47,0.8
Simulation,Game 61,classic,"This Simulation game provides strategic thinking, perfect for those who multiplayer options. Age Restriction: 5.",2021-03-31,44.02,8.2
Simulation,Game 62,original,Embark on an epic Horror journey where puzzle-solving and dynamic environments come together. Age Restriction: 10.,2006-05-05,46.26,8.0
Survival,Game 63,beta,An innovative RPG game that strategic thinking and immersive soundtracks. Age Restriction: 10.,2010-01-16,48.45,3.4
Survival,Game 64,classic,"Experience the excitement in this Puzzle game, where high-speed racing and challenging levels. Age Restriction: 8.",2004-05-29,30.12,9.7
Fighting,Game 65,current,Discover the thrill of Puzzle through complex narratives and unmatched gameplay. Age Restriction: 7.,2003-01-27,44.9,6.8
Simulation,Game 66,beta,"Immerse yourself in this Horror game, where city-building meets realistic physics. Age Restriction: 14.",2007-07-11,66.76,8.8
Fighting,Game 67,original,"Unleash your potential in this Action game, featuring strategic thinking and dynamic environments. Age Restriction: 10.",2021-08-31,23.0,4.0
Fighting,Game 68,beta,"Immerse yourself in this Adventure game, where city-building meets immersive soundtracks. Age Restriction: 15.",2010-04-19,34.37,9.3
Strategy,Game 69,classic,Experience a new level of Horror with complex narratives and breathtaking visuals. Age Restriction: 7.,2020-06-14,93.54,0.4
Fighting,Game 70,beta,An engaging JRPG game that brings sports management and multiplayer options to life. Age Restriction: 7.,2017-01-13,71.62,8.7
Strategy,Game 71,original,"Unleash your potential in this Action game, featuring city-building and unmatched gameplay. Age Restriction: 11.",2014-08-25,80.89,7.1
Action,Game 72,original,Explore the depths of Adventure with intense battles and multiplayer options as your guide. Age Restriction: 9.,2018-07-26,13.94,8.8
Horror,Game 73,original,Explore the depths of Simulation with high-speed racing and breathtaking visuals as your guide. Age Restriction: 9.,2011-01-20,98.47,4.1
Simulation,Game 74,beta,A captivating Horror experience that blends character customization with immersive soundtracks. Age Restriction: 5.,2001-06-18,60.78,9.0
Sports,Game 75,original,Engage in a Horror adventure where sports management and immersive soundtracks prevail. Age Restriction: 14.,2015-12-27,91.6,8.8
Sports,Game 76,alpha,"Unleash your potential in this MMORPG game, featuring city-building and challenging levels. Age Restriction: 8.",2003-11-28,82.74,5.2
Horror,Game 77,alpha,Adventure awaits in this Adventure game featuring strategic thinking and dynamic environments. Age Restriction: 6.,2019-06-18,12.03,9.0
Fighting,Game 78,current,Experience a new level of JRPG with city-building and breathtaking visuals. Age Restriction: 11.,2002-03-04,70.38,4.8
JRPG,Game 79,original,Immerse yourself in a Sports game that offers high-speed racing and breathtaking visuals. Age Restriction: 16.,2004-04-25,97.96,5.6
Sports,Game 80,classic,A unique Strategy game that offers character customization alongside breathtaking visuals. Age Restriction: 4.,2013-10-14,72.61,0.2
Sports,Game 81,current,Prepare for an intense Sports experience with strategic thinking and breathtaking visuals. Age Restriction: 17.,2000-08-22,42.03,0.8
Strategy,Game 82,original,Engage in a Simulation adventure where puzzle-solving and endless fun prevail. Age Restriction: 5.,2010-09-20,12.26,9.1
Action,Game 83,current,Adventure awaits in this Puzzle game featuring puzzle-solving and unmatched gameplay. Age Restriction: 17.,2005-11-08,34.77,4.1
Horror,Game 84,classic,Embark on an epic RPG journey where character customization and breathtaking visuals come together. Age Restriction: 4.,2013-12-19,54.94,2.7
Survival,Game 85,classic,"Join the adventure in this Action game, where intense battles is paired with breathtaking visuals. Age Restriction: 16.",2007-09-13,13.22,6.8
RPG,Game 86,original,Discover the thrill of Strategy through strategic thinking and unmatched gameplay. Age Restriction: 18.,2004-07-14,11.02,0.3
Adventure,Game 87,beta,A thrilling JRPG game featuring sports management and realistic physics. Age Restriction: 13.,2005-10-30,44.36,4.9
Action,Game 88,alpha,Prepare for an intense Simulation experience with sports management and breathtaking visuals. Age Restriction: 10.,2012-06-09,18.34,2.8
Sports,Game 89,beta,"Join the adventure in this Strategy game, where intense battles is paired with dynamic environments. Age Restriction: 16.",2012-11-25,82.17,0.9
RPG,Game 90,alpha,Experience a new level of Fighting with intense battles and multiplayer options. Age Restriction: 17.,2020-06-14,68.75,4.0
Strategy,Game 91,original,An innovative RPG game that city-building and multiplayer options. Age Restriction: 11.,2007-04-11,72.44,5.5
Sports,Game 92,current,A captivating Survival experience that blends character customization with unmatched gameplay. Age Restriction: 7.,2001-09-29,76.93,3.0
Sports,Game 93,beta,An engaging Adventure game that brings high-speed racing and dynamic environments to life. Age Restriction: 9.,2016-11-17,97.61,0.3
Strategy,Game 94,classic,Explore the depths of Sports with intense battles and breathtaking visuals as your guide. Age Restriction: 15.,2006-05-13,33.45,6.1
Horror,Game 95,classic,Discover the thrill of JRPG through intense battles and dynamic environments. Age Restriction: 8.,2016-03-20,64.23,7.5
Simulation,Game 96,classic,Prepare for an intense JRPG experience with city-building and endless fun. Age Restriction: 11.,2016-10-07,63.11,0.9
Survival,Game 97,original,"Experience the excitement in this MMORPG game, where city-building and realistic physics. Age Restriction: 15.",2000-09-06,68.73,6.9
Puzzle,Game 98,current,"This Fighting game offers puzzle-solving, combined with unmatched gameplay for endless excitement. Age Restriction: 18.",2007-09-15,60.68,6.1
Action,Game 99,classic,Prepare for an intense Fighting experience with complex narratives and dynamic environments. Age Restriction: 15.,2015-11-02,13.04,9.3
Action,Game 100,alpha,This MMORPG game captivates with intense battles and multiplayer options at its core. Age Restriction: 9.,2018-11-07,13.86,2.5
Puzzle,Game 101,classic,"This RPG game provides high-speed racing, perfect for those who endless fun. Age Restriction: 9.",2017-05-16,19.91,0.6
Action,Game 102,current,A captivating Survival experience that blends intense battles with unmatched gameplay. Age Restriction: 18.,2005-06-03,72.95,4.7
JRPG,Game 103,beta,Explore the depths of Fighting with high-speed racing and unmatched gameplay as your guide. Age Restriction: 6.,2007-12-21,29.69,6.0
Sports,Game 104,alpha,Immerse yourself in a Simulation game that offers strategic thinking and multiplayer options. Age Restriction: 14.,2002-09-05,86.61,4.5
Fighting,Game 105,alpha,An engaging JRPG game that brings sports management and unmatched gameplay to life. Age Restriction: 6.,2004-11-18,23.87,8.6
Action,Game 106,classic,"Join the adventure in this Survival game, where character customization is paired with immersive soundtracks. Age Restriction: 6.",2009-04-30,93.28,1.0
Fighting,Game 107,classic,A Sports game where high-speed racing meets multiplayer options for an unforgettable experience. Age Restriction: 17.,2002-11-01,93.63,4.1
Strategy,Game 108,original,"Unleash your potential in this MMORPG game, featuring puzzle-solving and multiplayer options. Age Restriction: 5.",2008-02-21,40.08,3.9
Strategy,Game 109,original,"Immerse yourself in this Adventure game, where character customization meets dynamic environments. Age Restriction: 18.",2018-12-03,12.55,6.1
Fighting,Game 110,alpha,Engage in a RPG adventure where strategic thinking and multiplayer options prevail. Age Restriction: 12.,2015-10-07,33.69,3.3
Strategy,Game 111,classic,Challenge yourself in this Adventure game with complex narratives and immersive soundtracks. Age Restriction: 7.,2006-01-12,92.57,7.3
Survival,Game 112,original,Embark on an epic Strategy journey where sports management and breathtaking visuals come together. Age Restriction: 6.,2011-08-17,67.72,3.9
Survival,Game 113,original,Immerse yourself in a JRPG game that offers city-building and unmatched gameplay. Age Restriction: 8.,2002-11-07,50.07,6.0
Sports,Game 114,classic,Engage in a Sports adventure where character customization and multiplayer options prevail. Age Restriction: 16.,2017-05-23,39.49,4.0
Simulation,Game 115,alpha,Experience a new level of Survival with puzzle-solving and immersive soundtracks. Age Restriction: 14.,2002-12-02,18.18,1.5
JRPG,Game 116,classic,"Dive into the world of JRPG with city-building, offering immersive soundtracks. Age Restriction: 9.",2002-05-31,86.74,0.9
Action,Game 117,classic,Explore the depths of MMORPG with complex narratives and dynamic environments as your guide. Age Restriction: 10.,2011-03-09,74.4,7.1
MMORPG,Game 118,original,A thrilling Survival game featuring puzzle-solving and immersive soundtracks. Age Restriction: 14.,2005-05-18,75.56,1.6
Survival,Game 119,current,Immerse yourself in a Fighting game that offers intense battles and challenging levels. Age Restriction: 18.,2005-04-08,90.01,2.6
Action,Game 120,current,Challenge yourself in this Strategy game with puzzle-solving and challenging levels. Age Restriction: 11.,2007-10-28,81.39,8.9
Simulation,Game 121,original,A thrilling Simulation game featuring puzzle-solving and breathtaking visuals. Age Restriction: 5.,2015-09-08,72.97,8.7
Simulation,Game 122,alpha,Dive into Simulation\ with puzzle-solving and dynamic environments for a complete experience. Age Restriction: 4.,2013-06-07,61.42,3.2
Survival,Game 123,beta,Step into the world of Horror with sports management and dynamic environments at your fingertips. Age Restriction: 3.,2017-02-16,62.8,7.4
Action,Game 124,classic,"Experience the excitement in this Sports game, where puzzle-solving and breathtaking visuals. Age Restriction: 14.",2001-09-05,71.1,3.5
Action,Game 125,alpha,"Dive into the world of Survival with city-building, offering breathtaking visuals. Age Restriction: 12.",2002-11-27,11.19,2.7
Horror,Game 126,original,A Horror game where puzzle-solving meets unmatched gameplay for an unforgettable experience. Age Restriction: 16.,2000-06-06,49.92,3.4
Strategy,Game 127,current,"Unleash your potential in this Survival game, featuring city-building and endless fun. Age Restriction: 16.",2022-12-31,12.97,3.4
Adventure,Game 128,classic,"Unleash your potential in this Simulation game, featuring intense battles and multiplayer options. Age Restriction: 3.",2009-03-22,39.82,1.5
Puzzle,Game 129,classic,"This Horror game offers city-building, combined with dynamic environments for endless excitement. Age Restriction: 9.",2008-05-01,14.82,4.7
Action,Game 130,classic,"Join the adventure in this Fighting game, where city-building is paired with multiplayer options. Age Restriction: 3.",2004-09-13,19.32,3.5
Sports,Game 131,original,Experience a new level of Fighting with sports management and realistic physics. Age Restriction: 16.,2012-01-14,20.72,8.4
Action,Game 132,original,An engaging Fighting game that brings puzzle-solving and multiplayer options to life. Age Restriction: 13.,2003-11-13,31.34,5.8
Action,Game 133,beta,Challenge yourself in this Puzzle game with puzzle-solving and multiplayer options. Age Restriction: 5.,2011-04-27,65.26,1.3
Survival,Game 134,classic,A Fighting game where puzzle-solving meets dynamic environments for an unforgettable experience. Age Restriction: 6.,2019-05-09,96.26,1.2
Horror,Game 135,alpha,A unique Horror game that offers intense battles alongside unmatched gameplay. Age Restriction: 15.,2014-03-08,86.08,7.5
RPG,Game 136,original,Embark on an epic Strategy journey where intense battles and immersive soundtracks come together. Age Restriction: 8.,2012-08-14,72.92,8.1
Adventure,Game 137,original,"Explore the Horror genre with city-building, making it unmatched gameplay. Age Restriction: 17.",2014-04-15,59.55,0.9
Sports,Game 138,beta,An innovative Puzzle game that strategic thinking and breathtaking visuals. Age Restriction: 5.,2006-07-23,86.81,9.7
Puzzle,Game 139,alpha,Step into the world of Fighting with complex narratives and immersive soundtracks at your fingertips. Age Restriction: 12.,2009-11-19,65.83,8.4
Action,Game 140,beta,A Adventure game where intense battles meets breathtaking visuals for an unforgettable experience. Age Restriction: 15.,2015-09-09,73.03,5.5
Strategy,Game 141,alpha,Engage in a JRPG adventure where complex narratives and realistic physics prevail. Age Restriction: 14.,2001-02-15,81.88,1.5
Strategy,Game 142,alpha,"This Adventure game offers sports management, combined with multiplayer options for endless excitement. Age Restriction: 7.",2023-07-05,21.6,2.9
Strategy,Game 143,original,"This Fighting game provides intense battles, perfect for those who dynamic environments. Age Restriction: 4.",2000-02-13,33.14,1.3
Puzzle,Game 144,alpha,A unique Survival game that offers high-speed racing alongside challenging levels. Age Restriction: 5.,2018-01-01,19.18,5.1
Adventure,Game 145,alpha,Challenge yourself in this Simulation game with high-speed racing and unmatched gameplay. Age Restriction: 5.,2003-07-11,20.27,5.3
Horror,Game 146,beta,"This Puzzle game offers sports management, combined with challenging levels for endless excitement. Age Restriction: 6.",2021-07-10,51.29,1.7
JRPG,Game 147,original,"Join the adventure in this Horror game, where strategic thinking is paired with challenging levels. Age Restriction: 5.",2023-06-23,11.83,0.2
Simulation,Game 148,current,Challenge yourself in this Horror game with strategic thinking and challenging levels. Age Restriction: 6.,2013-12-22,67.85,1.6
Sports,Game 149,alpha,Adventure awaits in this RPG game featuring sports management and immersive soundtracks. Age Restriction: 18.,2022-10-22,10.51,10.0
Fighting,Game 150,classic,"Unleash your potential in this Horror game, featuring character customization and unmatched gameplay. Age Restriction: 8.",2014-03-29,93.25,10.0
Survival,Game 151,current,An innovative Fighting game that high-speed racing and unmatched gameplay. Age Restriction: 17.,2014-09-21,64.36,8.8
Strategy,Game 152,alpha,"This Simulation game provides city-building, perfect for those who challenging levels. Age Restriction: 11.",2013-12-22,92.86,3.0
Simulation,Game 153,classic,"This Sports game offers sports management, combined with endless fun for endless excitement. Age Restriction: 8.",2015-12-05,12.22,5.0
Strategy,Game 154,beta,Immerse yourself in a JRPG game that offers character customization and dynamic environments. Age Restriction: 11.,2023-03-31,92.87,2.7
Survival,Game 155,current,Dive into RPG\ with complex narratives and endless fun for a complete experience. Age Restriction: 17.,2011-04-24,71.77,2.1
RPG,Game 156,current,A captivating Adventure experience that blends character customization with unmatched gameplay. Age Restriction: 7.,2001-06-05,49.99,6.2
Horror,Game 157,original,Experience a new level of MMORPG with intense battles and breathtaking visuals. Age Restriction: 12.,2023-02-13,71.37,2.3
Action,Game 158,original,"Experience the excitement in this Survival game, where sports management and unmatched gameplay. Age Restriction: 12.",2005-02-10,49.89,2.8
JRPG,Game 159,current,Immerse yourself in a JRPG game that offers intense battles and realistic physics. Age Restriction: 18.,2003-04-08,76.42,5.7
Fighting,Game 160,original,"Immerse yourself in this Puzzle game, where character customization meets endless fun. Age Restriction: 3.",2021-02-03,78.41,1.1
Puzzle,Game 161,alpha,Explore the depths of RPG with high-speed racing and immersive soundtracks as your guide. Age Restriction: 11.,2016-05-01,25.16,1.4
Fighting,Game 162,alpha,A Simulation game where intense battles meets challenging levels for an unforgettable experience. Age Restriction: 8.,2004-12-06,70.93,5.8
JRPG,Game 163,original,Experience a new level of Strategy with high-speed racing and endless fun. Age Restriction: 4.,2019-11-25,32.8,1.8
Strategy,Game 164,original,Adventure awaits in this Horror game featuring intense battles and dynamic environments. Age Restriction: 9.,2012-02-08,70.41,8.6
JRPG,Game 165,alpha,"Unleash your potential in this Simulation game, featuring character customization and breathtaking visuals. Age Restriction: 7.",2018-02-02,20.46,4.7
Strategy,Game 166,original,An engaging Adventure game that brings complex narratives and endless fun to life. Age Restriction: 6.,2008-11-07,66.1,8.5
Survival,Game 167,original,"Unleash your potential in this Puzzle game, featuring city-building and challenging levels. Age Restriction: 8.",2023-01-09,23.12,5.6
Puzzle,Game 168,alpha,"Join the adventure in this Survival game, where complex narratives is paired with immersive soundtracks. Age Restriction: 4.",2002-08-10,66.8,7.1
Action,Game 169,original,A Simulation game where puzzle-solving meets immersive soundtracks for an unforgettable experience. Age Restriction: 11.,2010-08-06,63.6,7.8
Sports,Game 170,alpha,Discover the thrill of MMORPG through character customization and endless fun. Age Restriction: 7.,2015-10-12,57.93,0.6
Adventure,Game 171,classic,A thrilling Fighting game featuring intense battles and immersive soundtracks. Age Restriction: 17.,2013-11-05,74.62,4.3
Horror,Game 172,classic,This Fighting game captivates with character customization and dynamic environments at its core. Age Restriction: 11.,2010-06-25,98.58,9.5
Adventure,Game 173,classic,A dynamic Horror game that integrates high-speed racing and immersive soundtracks seamlessly. Age Restriction: 3.,2006-04-15,15.85,5.0
MMORPG,Game 174,alpha,A captivating Adventure experience that blends high-speed racing with realistic physics. Age Restriction: 18.,2006-11-07,97.98,4.6
Strategy,Game 175,current,"Dive into the world of Horror with city-building, offering immersive soundtracks. Age Restriction: 6.",2007-10-09,66.6,5.8
Strategy,Game 176,original,"Join the adventure in this Sports game, where puzzle-solving is paired with unmatched gameplay. Age Restriction: 12.",2010-10-06,70.65,10.0
JRPG,Game 177,current,A dynamic Horror game that integrates complex narratives and dynamic environments seamlessly. Age Restriction: 15.,2010-02-25,75.1,0.6
Simulation,Game 178,classic,Prepare for an intense RPG experience with character customization and endless fun. Age Restriction: 18.,2021-10-13,48.99,3.0
Action,Game 179,current,A unique JRPG game that offers puzzle-solving alongside unmatched gameplay. Age Restriction: 14.,2011-11-04,13.8,2.5
Horror,Game 180,classic,"Experience the excitement in this Survival game, where city-building and endless fun. Age Restriction: 17.",2017-08-21,69.2,5.7
JRPG,Game 181,alpha,"Experience the excitement in this Action game, where city-building and breathtaking visuals. Age Restriction: 9.",2012-05-14,42.85,9.9
Strategy,Game 182,beta,"This Adventure game provides strategic thinking, perfect for those who immersive soundtracks. Age Restriction: 6.",2008-06-17,60.66,4.1
Action,Game 183,classic,"This Horror game provides intense battles, perfect for those who unmatched gameplay. Age Restriction: 10.",2012-02-22,49.9,3.0
Sports,Game 184,current,Experience a new level of Action with puzzle-solving and multiplayer options. Age Restriction: 13.,2013-07-02,45.58,3.6
Strategy,Game 185,original,"Experience the excitement in this MMORPG game, where intense battles and challenging levels. Age Restriction: 14.",2011-09-01,62.71,5.2
JRPG,Game 186,original,"This Adventure game offers sports management, combined with dynamic environments for endless excitement. Age Restriction: 5.",2023-10-25,85.94,5.1
Survival,Game 187,original,Experience a new level of Survival with strategic thinking and immersive soundtracks. Age Restriction: 17.,2006-01-14,63.53,4.9
Sports,Game 188,beta,"Explore the Survival genre with intense battles, making it multiplayer options. Age Restriction: 14.",2016-01-13,29.15,1.1
JRPG,Game 189,beta,"Unleash your potential in this Sports game, featuring city-building and realistic physics. Age Restriction: 18.",2005-11-26,57.92,3.4
Sports,Game 190,beta,"Immerse yourself in this Strategy game, where complex narratives meets realistic physics. Age Restriction: 3.",2023-09-21,90.9,9.3
Action,Game 191,alpha,"Join the adventure in this Puzzle game, where intense battles is paired with unmatched gameplay. Age Restriction: 15.",2011-02-02,64.56,8.9
JRPG,Game 192,original,An engaging Horror game that brings character customization and realistic physics to life. Age Restriction: 9.,2011-06-08,95.75,9.4
Adventure,Game 193,alpha,Experience a new level of Strategy with city-building and endless fun. Age Restriction: 11.,2000-05-28,58.21,9.0
Fighting,Game 194,beta,"Immerse yourself in this Action game, where puzzle-solving meets challenging levels. Age Restriction: 3.",2019-03-08,13.49,0.6
Fighting,Game 195,alpha,A Adventure game where complex narratives meets breathtaking visuals for an unforgettable experience. Age Restriction: 4.,2005-10-29,34.79,5.0
MMORPG,Game 196,original,A thrilling MMORPG game featuring character customization and challenging levels. Age Restriction: 17.,2021-01-04,42.6,6.8
Horror,Game 197,beta,Explore the depths of Sports with sports management and breathtaking visuals as your guide. Age Restriction: 12.,2016-08-27,66.72,6.7
Adventure,Game 198,alpha,An engaging Puzzle game that brings intense battles and challenging levels to life. Age Restriction: 15.,2016-02-20,63.17,2.2
Adventure,Game 199,beta,Challenge yourself in this Adventure game with city-building and realistic physics. Age Restriction: 7.,2012-04-20,32.68,9.0
JRPG,Game 200,classic,Dive into MMORPG\ with complex narratives and immersive soundtracks for a complete experience. Age Restriction: 12.,2009-01-24,36.26,1.9
Strategy,Game 201,current,"This Adventure game offers intense battles, combined with challenging levels for endless excitement. Age Restriction: 7.",2005-09-11,71.64,7.3
Puzzle,Game 202,current,"This Adventure game offers intense battles, combined with dynamic environments for endless excitement. Age Restriction: 5.",2012-06-21,23.24,5.9
Survival,Game 203,original,This Simulation game captivates with high-speed racing and unmatched gameplay at its core. Age Restriction: 13.,2017-06-10,80.13,8.5
Survival,Game 204,classic,An innovative Survival game that sports management and immersive soundtracks. Age Restriction: 4.,2019-08-27,10.45,7.9
Horror,Game 205,classic,Explore the depths of Sports with complex narratives and multiplayer options as your guide. Age Restriction: 6.,2007-05-26,60.3,7.9
JRPG,Game 206,alpha,"This Horror game offers puzzle-solving, combined with immersive soundtracks for endless excitement. Age Restriction: 3.",2010-07-11,12.44,1.8
JRPG,Game 207,alpha,A thrilling Horror game featuring intense battles and breathtaking visuals. Age Restriction: 15.,2001-05-18,96.35,9.4
Action,Game 208,classic,A captivating Action experience that blends puzzle-solving with multiplayer options. Age Restriction: 16.,2009-06-18,53.71,7.1
Sports,Game 209,classic,A Horror game where high-speed racing meets challenging levels for an unforgettable experience. Age Restriction: 17.,2008-03-23,66.69,0.7
